
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2502)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2539)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2321)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:832)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:46)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:513)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:409)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:417)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:344)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.sql.DriverManager.getConnection(DriverManager.java:582)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.sql.DriverManager.getConnection(DriverManager.java:185)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCP.obtainRawInternalConnection(BoneCP.java:363)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCP.<init>(BoneCP.java:416)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.jolbox.bonecp.BoneCPDataSource.getConnection(BoneCPDataSource.java:120)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.engine.jdbc.connections.internal.DatasourceConnectionProviderImpl.getConnection(DatasourceConnectionProviderImpl.java:139)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.hibernate.internal.AbstractSessionImpl$NonContextualJdbcConnectionAccess.obtainConnection(AbstractSessionImpl.java:380)
